Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Pakistan,PAK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,5.98734641929141,4.48285862750326,8.68883151825786,7.56975744902432,10.4193658220408,11.3534617181927,0.468372548493363,0.813406404584697,7.06426385694971,3.54019171278873,4.21141563146435,5.15618958986124,3.94769828741323,8.04853361937855,3.75843556852186,10.2157040372755,7.92076357199696,6.53748679998847,6.77837833870171,5.06520560476402,7.59211469875896,5.50165366386253,6.45234302466982,7.62527877959378,4.95976889440439,4.45858681510218,5.06156775897861,7.70589781716029,1.7577476978468,3.73741555767747,4.96260914623281,4.84658128681654,1.01439601077892,2.55023429817393,3.66013273943236,4.2600880111325,3.65135017083765,2.59481668445784,5.40131087314342,7.83125556961251,7.2765744364722,6.05163767569996,4.4448143398844,2.1204410433083,3.47255059567348,1.50171752152883,2.68011685421705,3.02758391088629,4.36686504978387,4.11642817161422,4.21794209572506,6.57383828511043,4.43262590683975,6.15170261099519,2.49763692943365,-1.27408744338709,6.51388575852702,4.7781068690358,-0.414935997088406,3.04898287335465,..
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,3749265014.69971,4118647627.04746,4310163796.72407,4630827383.45233,5204955900.88198,5929231415.37169,10027509449.811,10665896682.0664,9415016359.56604,6383429490.21091,8899191919.19192,11230606060.6061,13168080808.0808,15126060606.0606,17811515151.5152,19688383838.3838,23654444444.4444,28100606060.6061,30725971563.981,28691889763.7795,31151825467.4978,31144920844.3272,31899070055.7967,33351529274.6869,38472742808.3167,40171106279.0078,40010423970.4576,45625336680.2047,48884671947.4657,51809999353.1614,52293470813.1336,60636071684.1918,63320170084.4076,62433340468.0228,62191955814.3478,62973857068.5113,99484802344.5277,97145618479.9038,97923302809.3537,112371913740.823,132216048339.413,145208562960.767,161871385506.36,184140869997.46,202203748583.854,187337783856.466,196709621849.586,230586581059.665,250106966104.704,258657231672.412,271390474857.632,299963590534.773,313630000130.435,339205534861.1,356128166704.921,320909472770.669,300425609817.981,348516647445.148,374890295666.694,336686348609.266,371570000121.266,..
Pakistan,PAK,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80.6,..,..,79.5,..,..,..,..,..,45.3,..,50.3,..,..,56.2,..,..,40.9,40.8,..,34.9,..,..,26.7,25.9,..,21.2,..,16.9,..,..,16.5,..,..,..,..,..,23,..
Pakistan,PAK,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,..,..,..,..,..,..,1.0060104,1,1.2,1.3,1.4,1.4,1.5,1.5,1.6,1.5,1.5,1.3,1.3,1.3,1.4,1.7,1.8,2.1,1.9083271,1.8,1.9,2,2.1,2,2.3,2.4,2.4,2.4,2.3258377,2.34,2.17600000000004,2.01200000000004,1.84800000000003,1.68400000000002,1.52,1.71,1.94,1.91,2.02,1.85,1.51,1.45,1.68062731630219,1.91125463260449,1.8643885650318,1.94586886432773,2.02734916362365,2.02734916362365,2.02734916362365,2.02734916362365,2.02734916362365,2.02734916362365,..,..,..,..
Pakistan,PAK,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.2,..,..,..,..,..,18,..,18,..,23,23,..,..,31,56,38.8,40,41,..,43,51,52.1,..,59,..,..,69.3,73.7,68,..,..,..,..,..
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,6.05816082547616,5.45303096987814,-0.455894289969805,10.9527885460584,1.60625822892978,5.61985229282153,-5.47948302722807,-13.9737287020561,3.32568019881434,9.59195630039562,-4.08821409181246,5.66136120118878,2.67305605004213,7.07383773259727,4.80163460054837,0.819141868916631,7.23394369489792,2.13432783577548,3.88104639980884,4.80331001525171,3.34201465416713,4.17338255900151,3.77240185251682,2.41625685565774,2.83658212908817,5.62225816160344,3.48522781598027,5.44268554966725,4.71156172453999,3.89012644116818,5.12127789724337,4.52291921684423,4.4898964976265,5.1770268731498,4.67015636882111,5.29329471892532,5.07728777526728,3.83312393993225,4.73956739963045,5.23953291029852,6.53594493875502,6.67190498576788,7.05859935449848,6.01378975738535,5.04512479919337,5.57178818533122,6.46437912497728,6.52145877906443,6.01360565834344,6.0610593588495,6.55263987816197,7.11347821270093,6.59024999794057,7.31941263014136,7.88191515117722,3.44801755122445,6.93867912442445,7.09982877575158,5.77511237007889,4.22325911250161,..
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,4274894083.33333,4817580375,5081413541.66667,5319458562.5,5386054833.33333,5906636791.66667,8992722166.66667,8751843187.5,6288245866.66667,8086725729.3407,12512460519.7088,19448348073.4565,10117113333.3333,9651149301.8746,13281767142.8571,15565480321.9448,18138049095.6072,20249694002.448,18525399201.5968,17609048821.5488,18920840000,22278423076.9231,21774033333.3333,24298032258.0645,26579005558.3652,28781715188.8919,31598340778.2164,30957483949.5798,31708874594.1645,33166519417.9894,33768660882.793,37939748768.6567,46438484107.5795,48244309133.4895,49984559471.3656,51270569883.5275,53369787318.6245,53991289844.3291,54724081490.5102,60158929188.2556,65108544250.0425,69476001239.419,71795736172.1561,79611644974.5571,91636997370.9772,102475158190.998,115275540051.262,128607482310.357,133310747603.483,149998957434.186,172886611653.786,195146608978.131,265224515675.034,293732446624.596,321362752441.78,351231654603.692,373979442362.193,416271647911.014,460131689083.083,437415333018.291,450119432068.852,..
Bangladesh,BGD,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.1,..,41.4,..,..,51.1,..,..,51.2,..,..,..,43.4,..,..,..,..,41.4,..,..,..,..,32.3,..,..,..,..,25.1,..,..,..,..,..,19.5,..,..,..,..,..,5.9,..,..,..
Bangladesh,BGD,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,..,..,..,..,..,..,0.5425099,0.5425099,0.5425099,0.5425099,0.9,0.8,0.5,0.6,0.6448609,0.7,0.7,0.7,0.7,0.8,0.9,0.9,1.1,1.1,1.1,1.2,1.2,1.1,1.2,1.3,1.3369002,1.3369002,1.3050351,1.3,1.4927874,1.32,1.28,1.3,1.25,1.68,1.48,1.545,1.61,1.79,1.71,1.59,1.77802832192127,1.96605664384263,1.87681685753293,1.86282889139239,1.84884092525187,1.83485295911133,1.8208649929708,1.66246855487557,1.50407211678041,1.34567567868521,1.34567567868521,1.34567567868521,..,..,..,..
Bangladesh,BGD,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.5,..,..,7.7,..,..,12.1,12,..,13.9,13.2,..,20.1,18,..,24.4,26.5,31.7,..,36.5,42.1,..,49.8,67.8,52.7,59,..,..,..,..,..,..
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,-27.2700000038883,-5.57999999019671,10.2999999963989,18.1799999938203,16.9500000038699,19.2999999967022,7.05999999853672,3.81000000021984,7.76000000084325,2.31000000294736,8.71999999747992,-1.57000000165326,7.57000000138403,11.3259779878892,7.59132468000007,7.83414501593799,5.11276109058952,9.05928417062999,10.7273706842105,15.2325609955089,13.435474366529,8.93506493506504,11.6282225655699,11.2225949825209,4.20633435547828,3.9416305983694,9.36170212784847,14.2996108947926,13.9290780143689,13.0727091631599,11.0328121562746,9.97619992053447,9.2876465280865,7.92079207933551,7.7370030581299,8.58643201808462,8.31263887091522,9.24339326638321,10.1181928640117,10.1314073631003,11.458238455067,12.6746751655235,14.1499854947127,9.67024588602851,9.40269972778044,10.5962719761682,9.4613358870736,7.85617427055587,7.77872409446717,7.46190028229434,6.97878002657477,6.77555562837017,6.8912663621211,6.75671800166833,6.06850235053705,2.34018843078414,8.57008513166322,3.1341888719577,5.41484330099675,4.9773565917572,..
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,59846235024.7318,50162299349.7871,47310737754.2287,50812227918.5753,59821862703.4023,70565994356.1828,92752930873.1912,99959013879.6308,113871930713.841,138764340892,144418433058.472,163687619735.857,154196810058.643,175226595859.778,149788617886.179,178573913043.478,191487500000,196218253968.254,205480916030.534,231130268199.234,260442857142.857,310064625850.34,301310144927.536,273455156950.673,312888888888.889,348380566801.619,361560229445.507,384510452961.672,428502354788.069,446557291212.148,566929539493.172,738190896227.55,868523936530.083,967753570434.667,1037134141760.35,1103843203575.64,1223754919971.05,1355036590251.52,1489821682050.54,1683903309843.85,1984196551300.44,2317551298052.05,2791498472804.33,3604055822571.63,4667346414521.95,5189577094997.58,6192564874453.29,7671757207851.29,8673664713189.24,9743124247267.24,10674533168257.4,11280814787468.9,11456024084962,12537559062282.9,14147765772963.8,14560167101283.4,14996414166715.1,18201698719564,18316765021690.2,18270356654533.2,18743803170827.2,..
China,CHN,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97,..,..,91.3,..,..,81.1,..,..,83.1,..,..,77.3,..,..,62.6,..,..,58.5,..,..,47.8,..,..,32.9,..,..,26.1,..,20.6,15.3,12.9,6,4.6,2.9,2.1,1.6,0.7,0,0,0,0,..,..,..
China,CHN,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,..,..,..,..,..,..,1.6102769,1.4,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.9,1.7,1.7,1.8,1.8,1.7,1.7,1.8,1.6,1.6,1.6,1.7861795,1.7861795,1.5,1.5,1.8,1.7,1.7,2.0359013,2.0030148,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,..,..,..,..
China,CHN,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,94,93.7,84.1,83.6,90.4,89.3,93.1,93.8,..,96.8,96.6,97.3,96.7,95.9,97.3,97.5,97.8,98.4,99.1,99.3,99.6,99.7,99.8,99.9,99.9,99.9,99.9,..,..,..,..,..,..,..,..,..
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,3.16329168371298,7.42783736424002,5.29743988916486,6.65599998308328,6.31720005153649,2.91871307258708,4.01884508716894,5.51967005803644,6.72864134770903,3.35777600467976,1.5454033263216,5.88927586333716,3.53482660580218,3.73597638764802,3.72519949149593,2.17719921287991,3.41506518150013,-3.16615022065891,2.56225358775578,5.8985694010334,4.73768081475092,2.12148083355379,4.07201574110678,4.41083900341744,2.33732975738413,0.202947874139198,-2.0910550979319,0.890466180427183,2.65770691557481,4.49404929532982,2.68232822733793,1.68896122499937,4.28016683621337,3.89288654344983,5.14100353715349,5.1385391803606,1.87509810696022,2.99925535017809,1.80638512302554,3.09236384292251,3.21045439063563,2.63794375007348,2.04990463726786,0.995406301140747,-2.91508621550267,3.09080634469335,3.13719442170364,1.75566129145483,2.32581354806429,2.87346677785811,0.649971001734855,1.03855092490855,3.03383491200222,2.74296344906655,1.90843194590616,-5.03823343468899,5.95052802804381,4.18903628100851,1.52874550838358,1.55479521049516,..
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,40563768946.9503,41038192837.9035,42336211555.8268,45140337826.9869,49503663836.3665,54649410478.5226,88192257632.3093,99606454743.5136,113463848873.624,131764343565.643,160949188139.059,174419757176.563,207271612576.065,212325176304.654,219369542386.254,243891124295.715,274776566028.053,307246642755.859,314647807408.608,341866277182.733,356718400123.543,366186012449.652,379006836991.724,433134238310.709,509380027626.554,567211993243.243,596075591360.987,612527712315.615,594387358318.855,579053561739.4,579944346807.264,605961090061.207,630607994132.747,654986999855.554,634000000000,678412196271.118,744773415931.587,738981792355.372,760649334098.005,895540646634.787,1026690238278.25,1173108598778.68,1319264809590.97,1468820407783.26,1552989690721.65,1374625142157.29,1617343367486.26,1793326630174.52,1828366481521.6,1846597421834.98,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1725329192783.02,1743725183672.52,1655684730000.19,2022378748423.23,2190411080134.32,2173339670064.33,2243636826633.76,..
